TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,RawGazeFromPupil2D.x,RawGazeFromPupil2D.y,SMHighlighted1,SMHighlighted2,SMGazed,GazePositionAfterCalculation.x,GazePositionAfterCalculation.y,GazePositionAfterCalculation.z
27.78889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.4010526,0.4747568,Small Multiples 21,Small Multiples 27,NA,27.55356,-30.77496,-26.36662
27.82222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3971598,0.4682453,Small Multiples 21,Small Multiples 27,NA,26.97523,-31.62297,-25.94346
27.85556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3934279,0.4631464,Small Multiples 21,Small Multiples 27,NA,26.68457,-32.31726,-25.34524
27.88889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3934279,0.4631464,Small Multiples 21,Small Multiples 27,NA,26.81932,-32.30363,-25.20517
27.92222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3899924,0.462487,Small Multiples 21,Small Multiples 27,NA,27.43486,-32.29227,-24.46722
27.95556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3865595,0.460215,Small Multiples 21,Small Multiples 27,NA,27.63529,-32.49522,-23.91492
27.98889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3865595,0.460215,Small Multiples 21,Small Multiples 27,NA,27.94987,-32.37037,-23.68837
28.02222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3767716,0.4655128,Small Multiples 21,Small Multiples 27,NA,29.38184,-32.06688,-22.13534
28.05556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3767716,0.4655128,Small Multiples 21,Small Multiples 27,NA,29.68773,-31.96059,-21.84272
28.08889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3725396,0.4636113,Small Multiples 21,Small Multiples 27,NA,30.41447,-31.94381,-20.71342
28.12222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3645932,0.4630303,Small Multiples 21,Small Multiples 27,NA,31.03921,-32.0181,-19.50191
28.15556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3484801,0.4645974,Small Multiples 21,Small Multiples 27,NA,32.38296,-31.78967,-17.30629
28.18889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3484801,0.4645974,Small Multiples 21,Small Multiples 27,NA,32.59591,-31.67616,-17.08073
28.22222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3484801,0.4645974,Small Multiples 21,Small Multiples 27,NA,32.91646,-31.57351,-16.5796
28.25556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3484801,0.4645974,Small Multiples 21,Small Multiples 27,NA,33.0947,-31.44646,-16.44142
28.28889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3484801,0.4645974,Small Multiples 21,Small Multiples 27,NA,33.36415,-31.2515,-16.22864
28.32222,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.3484801,0.4645974,Small Multiples 21,Small Multiples 27,NA,33.29717,-31.40489,-16.0466
28.35556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7472528,-0.4593312,Small Multiples 21,Small Multiples 27,NA,-24.71755,-38.69147,-21.71504
28.37778,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7472528,-0.4593312,Small Multiples 21,Small Multiples 27,NA,-25.27958,-38.71095,-21.04302
28.41111,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7472528,-0.4593312,Small Multiples 21,Small Multiples 27,NA,-25.70206,-38.79594,-20.3651
28.44444,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7472528,-0.4593312,Small Multiples 21,Small Multiples 27,NA,-25.96845,-38.90671,-19.79666
28.47778,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7472528,-0.4593312,Small Multiples 21,Small Multiples 27,NA,-26.35607,-38.81278,-19.49412
28.51111,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7472528,-0.4593312,Small Multiples 21,Small Multiples 27,NA,-26.66294,-38.69326,-19.34524
28.55556,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7472528,-0.4593312,Small Multiples 21,Small Multiples 27,NA,-26.84715,-38.46328,-19.59801
28.58889,3,14,8,Bar,Full-Circle,Long Distance,Answer,0.7472528,-0.4593312,Small Multiples 21,Small Multiples 27,NA,-26.85471,-38.38926,-19.75038
