TimeSinceStart,UserID,TrialID,TaskID,Dataset,Layout,QuestionType,TrialState,SMManagerPosition.x,SMManagerPosition.y,SMManagerPosition.z,SMManagerScale,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z
40.97778,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.885587,0.821089,-1.864307,328.6772,195.9751,358.676
41.01111,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.885572,0.8210717,-1.864267,328.6776,195.9753,358.6773
41.04445,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.88561,0.8210704,-1.864318,328.6756,195.9797,358.6819
41.07778,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.885678,0.8210995,-1.864356,328.6585,195.9778,358.6998
41.11111,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.885624,0.8210567,-1.864414,328.6676,195.9719,358.6712
41.14445,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.88564,0.82108,-1.864393,328.6976,195.9836,358.6777
41.17778,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.885763,0.8211235,-1.864469,328.6755,195.9659,358.6722
41.21111,3,1,Training,Bar,Half-Circle,Long Distance,OnTask,0,0.2899933,-0.6,0.6,-1.885783,0.8212134,-1.864429,328.7133,195.9842,358.6881
41.25556,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885566,0.8212057,-1.864584,328.6798,195.9803,358.6757
41.3,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.88547,0.8211048,-1.864717,328.6793,195.958,358.6832
41.33334,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885462,0.8211079,-1.864776,328.6663,195.968,358.674
41.37778,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.88552,0.8211147,-1.864851,328.6751,195.9442,358.6949
41.41111,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885497,0.8210785,-1.864908,328.6792,195.9517,358.6786
41.44445,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.88558,0.8210776,-1.86477,328.6974,195.9491,358.6925
41.47778,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885529,0.8211714,-1.864826,328.6834,195.9696,358.6694
41.51111,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885509,0.8211651,-1.864799,328.6769,195.9807,358.6778
41.54445,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885663,0.821129,-1.864796,328.684,195.9893,358.6777
41.57778,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885734,0.8211099,-1.864836,328.6812,195.9501,358.6828
41.61111,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885794,0.8211156,-1.864822,328.6895,195.974,358.6536
41.65556,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885828,0.8210698,-1.864751,328.6818,195.9584,358.6934
41.68889,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885671,0.8209684,-1.864749,328.7092,195.9647,358.6781
41.72222,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.88574,0.8209418,-1.864866,328.7034,195.9597,358.6732
41.75556,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885822,0.8209817,-1.864811,328.6769,195.9527,358.6959
41.78889,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885735,0.8210204,-1.864754,328.7045,195.967,358.6699
41.82222,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885813,0.8210887,-1.864858,328.6854,195.9671,358.6783
41.85556,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885776,0.821152,-1.864815,328.6723,195.9492,358.7036
41.88889,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.885813,0.8211402,-1.864869,328.6928,195.9545,358.701
41.92222,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.886029,0.8211569,-1.864931,328.6849,195.9501,358.6985
41.95555,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.886021,0.821139,-1.865056,328.6788,195.9608,358.6869
41.98889,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.886032,0.8211836,-1.865086,328.6979,195.9487,358.6952
42.02222,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.886011,0.8211264,-1.865013,328.6894,195.9604,358.6749
42.05556,3,1,Training,Bar,Half-Circle,Long Distance,Answer,0,0.2899933,-0.6,0.6,-1.886047,0.8210606,-1.864947,328.6852,195.9635,358.6828
